Type,Titre,Lieu,Auteurs,Equipe,Date,Année,Langue,Lien,Note,Intervenant,Président,Mots_clés,Résumé,Famille,,,,,,
Thesis,De la vision métier à la génération assistée de plannings pour la coordination centralisée de services de soins à domicile,Centre Génie Industriel (CGI),"Zhang, Liwen","KTK-4355, Jean-Pierre Bourey [Président], Virginie Goepp [Rapporteur], Christophe Merlo [Rapporteur], Elyes Lamine, Sondes Chaabane, Maria Di Mascolo, Computer Science [cs]/Other [cs.OH]Theses",05/07/2021,2021,French,https://theses.hal.science/tel-03405854,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,Franck Fontanili,"Model driven engineering, Domain specific modelling language, Optimization, Satisfaction of stakeholders, Home health care, Coordination, Ingénierie dirigée par les modèles, Langage de modélisation spécifique au domaine, Optimisation, Satisfaction des parties prenantes, Prise en charge à domicile, Coordination","Aujourd’hui, qu’il s’agisse du développement du post-opératoire en ambulatoire, de la prise en charge de handicap, d’affectations de longue durée ou des personnes âgées fragiles en perte d’autonomie, la Prise en charge A Domicile (PAD) par des structures médico-sociales se développe. Le plus souvent, l’organisation de ces services à la personne a un caractère artisanal, mobilisant peu de méthodes et d'outils pour soutenir le pilotage d’un tel système de PAD. Lors de la prise en charge de services de soins et d’accompagnement, la demande est distribuée sur un territoire. Dès lors, de nouvelles capacités sont requises dans l’organisation de la prise en charge et, tout particulièrement, dans la réalité de la coordination des intervenants qui se déplacent. Face à la montée en charge rapide de la demande et de la diversité des structures de PAD, se manifeste un double besoin : (1) celui de pouvoir spécifier leur propre problème de coordination de PAD, et (2) celui de générer des plannings adaptés à ce besoin spécifique. Nous proposons donc un cadre abordant ces deux aspects pour cerner un sujet complexe. Notre étude est basée sur un environnement d’aide à la prise de décision utilisant une approche d’Ingénierie Dirigée par les Modèles (IDM). Sur la base d’un bilan de connaissances de ces PAD, les travaux de recherche visent d’abord le développement d’un langage de modélisation spécifique au domaine pour capturer le besoin de coordination. Ensuite, nous avons développé des méthodes de planification des activités selon deux formulations du problème de coordination (dit HHCRSP - Home Health Care Routing and Scheduling Problem) : une méthode exacte en Programmation Linéaire en Nombre Mixte (PLNM) résolue par le solveur CPLEX, et une méthode approchée en satisfaction de contraintes couplée à une méta-heuristique, apte à traiter des problèmes de grande taille et résolue par OptaPlanner. Nous les avons comparées. Enfin, nous avons bâti un prototype d’une fabrique numérique de la coordination en PAD réunissant les résultats acquis, appelé BL.Autom. Sa conception suit les principes de l’architecture dirigée par les modèles, et son développement a été réalisé à l’aide de l’outil de méta-modélisation ADOxx. Ce prototype facilite l’exercice du métier du coordinateur en lui procurant la faculté de modifier au fil de l’eau ses orientations en termes de performance et ses exigences. Dans son usage, cette fabrique peut mettre l’accent sur la recherche de satisfaction des parties-prenantes (bénéficiaire et intervenant) dans ce prisme d’un service à la personne.",Ingénierie santé et bien-être,,,,,,
Thesis,"Configuration à base de connaissances : une contribution à la modélisation générique, à l'évaluation et à l'optimisation évolutionnaire",Centre Génie Industriel (CGI),"Garcés Monge, Luis","Michel Tollenaere [Président], Eric Bonjour [Rapporteur], Pierre-Alain Yvars [Rapporteur], Elise Vareilles, Catherine Da Cunha, Computer Science [cs]/Other [cs.OH]Theses",11/10/2019,2019,English,https://theses.hal.science/tel-02416606,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,Paul Pitiot,"Evaluation, Generic model, Product configuration, Process configuration, Concurrent configuration, Evolutionary optimization, Évaluation, Modèle générique, Configuration de produit, Configuration de processus, Configuration concurrente, Optimisation évolutionnaire","Dans un contexte de personnalisation de masse, la configuration concourante du produit et de son processus d’obtention constituent un défi industriel important : de nombreuses options ou alternatives, de nombreux liens ou contraintes et un besoin d’optimisation des choix réalisés doivent être pris en compte. Ce problème est intitulé O-CPPC (Optimization of Concurrent Product and Process Configuration). Nous considérons ce problème comme un CSP (Constraints Satisfaction Problem) et l’optimisons avec des algorithmes évolutionnaires. Un état de l’art fait apparaître : i) que la plupart des travaux de recherche sont illustrés sur des exemples spécifiques à un cas industriel ou académique et peu représentatifs de la diversité existante ; ii) un besoin d’amélioration des performances d’optimisation afin de gagner en interactivité et faire face à des problèmes de taille plus conséquente. En réponse au premier point, ces travaux de thèse proposent les briques d’un modèle générique du problème O-CPPC. Ces briques permettent d’architecturer le produit et son processus d’obtention. Ce modèle générique est utilisé pour générer un benchmark réaliste pour évaluer les algorithmes d’optimisation. Ce benchmark est ensuite utilisé pour analyser la performance de l’approche évolutionnaire CFB-EA. L’une des forces de cette approche est de proposer rapidement un front de Pareto proche de l’optimum. Pour répondre au second point, une amélioration de cette méthode est proposée puis évaluée. L’idée est, à partir d’un premier front de Pareto approximatif déterminé très rapidement, de demander à l’utilisateur de choisir une zone d’intérêt et de restreindre la recherche de solutions uniquement sur cette zone. Cette amélioration entraine des gains de temps de calcul importants.",Industrie du futur responsable,,,,,,
Thesis,Conception d'un système de détection des risques piloté par les données de suivi temps-réel des flux logistiques,Centre Génie Industriel (CGI),"Ouedraogo, Cheik","KTK-4718, Bruno Vallespir [Président], Myriam Lamolle [Rapporteur], Christophe Merlo [Rapporteur], Aline Cauvin, Computer Science [cs]/Other [cs.OH]Theses",28/02/2023,2023,French,https://theses.hal.science/tel-04318938,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,Aurélie Montarnal,"Intermodal transport, Risk management, Machine learning, Event extraction, Knowledge modeling, Transport intermodal, Gestion du risque, Apprentissage automatique, Extraction d'évènement, Modélisation de la connaissance","Dans le contexte de mondialisation actuel, le transport intermodal des conteneurs joue un rôle important dans l'efficience et l'efficacité de la chaîne d'approvisionnement. En effet la conteneurisation induit une forte productivité lors des manutentions portuaires et une réduction des coûts de transport grâce au groupage. Elle assure également l'intégrité et la sécurité des marchandises transportées. Néanmoins, le grand nombre d'acteurs impliqués dans le processus de transport des conteneurs le complexifie énormément et induit une perte de visibilité et de traçabilité lors du transit des marchandises. De plus, ce dernier est très souvent soumis à des évènements aléatoires qui entraînent des retards de livraison et une augmentation des coûts de transport. Au regard de toutes ces difficultés, cette thèse adresse la problématique suivante : comment détecter les causes de retard et quantifier leurs impacts sur les délais d'acheminement des marchandises en transport conteneurisé dans un contexte intermodal ? Un système basé sur une approche hybride est proposé pour répondre à cette problématique. Nous proposons premièrement un modèle de connaissances des risques dans le transport intermodal sous forme d'une ontologie de domaine. Ensuite, en utilisant cette connaissance, puis en nous appuyant sur les données de traçabilité/visibilité des conteneurs et des données provenant des sources d'informations textuelles, nous extrayons en temps réel les évènements aléatoires susceptibles de perturber le flux de transport. Nous nous intéressons ici à l'aide à la décision pour supporter les activités des acteurs impliqués dans la chaîne de transport intermodal (exportateurs, consignataires, transporteurs, compagnie maritime, etc). Les recherches sont menées en collaboration avec un partenaire industriel qui développe une solution de tracking temps réel des conteneurs.",Souveraineté numérique et sobriété,,,,,,
Thesis,Conception et évaluation d'environnements virtuels dédiés à la gestion de crise,Centre Génie Industriel (CGI),"Congès, Aurélie","KTK-4767, Joao Porto de Albuquerque [Président], Ira Helsloot [Rapporteur], Alexander Verbraeck [Rapporteur], Géraldine Ducos, Audrey Fertier, Jacob Graham, Matthieu Lauras, Computer Science [cs]/Other [cs.OH]Theses",15/06/2022,2022,English,https://theses.hal.science/tel-04633008,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,Frédérick Bénaben,"Virtual reality, Collaboration, Situational awareness, Decision support, Interoperability, Crisis management, Réalité virtuelle, Collaboration, Connaissance de la situation, Aide à la décision, Interopérabilité, Gestion de risque","Pendant une crise, l'efficacité et la rapidité de la réponse peuvent être synonymes de vie ou de mort pour les victimes. Une connaissance approfondie de la situation et un processus décisionnel efficace sont essentiels pour garantir que la crise sera résolue avec un minimum de dommages pour les personnes et les biens. Deux phases de la crise sont alors importantes à considérer : la phase de préparation et la phase de réponse. Bien que cruciales, elles présentent actuellement de nombreux inconvénients qui limitent leur efficacité. Les travaux présentés dans ce manuscrit identifient tout d'abord les inconvénients et les limites de la préparation à la crise et proposent d'utiliser la réalité virtuelle (VR) pour les surmonter. Pour être préparés, les intervenants de la crise doivent régulièrement organiser des exercices d'entraînement pour simuler une crise et répéter les plans et procédures pour la résoudre. Dans ces travaux, nous proposons des environnements de formation en VR reproduisant des sites sensibles, dans lesquels des scénarios de crise peuvent être mis en oeuvre. L'objectif est de proposer plusieurs modules : (i) un environnement réaliste et adaptable avec de multiples conditions d'entraînement, (ii) un environnement sûr pour que les utilisateurs puissent tester différentes réponses sans risque, (iii) la possibilité de s'entraîner autant de fois que nécessaire sans coûts supplémentaires, (iv) la possibilité d'enregistrer les sessions d'entraînement pour les analyser et en tirer des enseignements, et (v) un environnement multi-joueurs dans lequel des utilisateurs peuvent se rejoindre même s'ils sont physiquement distants. Les progrès technologiques récents ont rendu la VR et les environnements virtuels (EV) de plus en plus présents. On les trouve dans divers domaines et à des fins multiples. La question de l'évaluation de la maturité de ces EV se pose alors, afin de déterminer si les EV sont efficaces pour l'objectif qu'ils poursuivent. Ces travaux passent donc en revue les systèmes d'évaluation existants sur lesquels ils se basent pour construire un nouveau cadre d'évaluation qui vise à fournir : (i) un système d'évaluation complet et objectif pour évaluer la maturité des EV, et (ii) un guide pour aider les concepteurs et les développeurs de EV à construire des EV. En ce qui concerne la phase de réponse à la crise, la difficulté est d'obtenir une connaissance pertinente et fidèle de la situation. La collecte et la compréhension des données sont cruciales mais peuvent être compliquées, en particulier dans les crises de grande ampleur. Les systèmes d'aide à la décision sont des outils précieux pour aider à analyser cette multitude d'informations. La VR peut également aider à la visualisation et à la compréhension de ces données. Dans ce contexte, ces travaux utilisent le cadre de maturité proposé pour concevoir et mettre en œuvre une cellule de crise en VR, afin d'améliorer la connaissance de la situation et la prise de décision. Les objectifs d'une telle cellule de crise sont les suivants : (i) fournir une représentation fidèle et actualisée de la crise, (ii) offrir plusieurs points de vue sur ce qui se passe sur place, (iii) fournir un lien avec un système d'aide à la décision pour identifier la meilleure réponse à la crise, et (iv) offrir de nouveaux outils de visualisation et d'analyse pour comprendre des données volumineuses.","Énergie, économie circulaire et société",,,,,,
Thesis,Outil d’aide à la décision à base de jumeau numérique pour l’analyse prospective et rétrospective d’un programme de bloc opératoire soumis à des incertitudes,Centre Génie Industriel (CGI),"Rifi, Leah","KTK-4849, Virginie Goepp [Président], Evren Sahin [Rapporteur], Vincent Augusto [Rapporteur], Cléa Martinez, Sondes Chaabane, Vincent Cheutet, Computer Science [cs]/Other [cs.OH]Theses",15/12/2023,2023,English,https://theses.hal.science/tel-04584289,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,Maria Di Mascolo,"Operating room, Digital twin, Operating room management, Decision support system, Modeling and simulation, Uncertainties, Bloc opératoire, Jumeau numérique, Régulation, Outil d'aide à la décision, Modélisation et simulation, Incertitudes","Avec l'augmentation de la demande de soins dans le monde, les services hospitaliers sont de plus en plus sollicités. Leur performance est étroitement liée à la performance de leur bloc opératoire. En effet, le bloc opératoire est un important centre de revenus et de dépenses puisqu'il représente 40% du budget de l'hôpital (Macario et al. 1997), et que 60% des patients viennent à l'hôpital pour une intervention chirurgicale (Fugener et al. 2017). Il est donc nécessaire que les blocs opératoires soient efficients. Cependant, cela est rendu difficile par la complexité de leur organisation due à la diversité des parcours patients, la multiplicité des métiers, les liens étroits avec les services amont et aval, la synchronisation de plusieurs ressources et flux logistiques (personnels, médicaments et dispositifs médicaux), etc. D'autre part, la variabilité des durées et les perturbations inhérentes à la pratique médicale, comme les cas d'urgence, sont les principaux facteurs et événements qui dégradent le programme opératoire et impliquent que le personnel prenne de fréquentes décisions pour maintenir l'activité du bloc opératoire de manière optimale. Par conséquent, les activités de planification et d'ordonnancement du bloc opératoire intéressent de plus en plus la communauté scientifique. Dans cette thèse de doctorat, nous nous concentrons sur les niveaux opérationnels hors ligne et en ligne (Hans et Vanberkel 2012). Ceci nous amène aux questions de recherche suivantes : (1) Comment évaluer la robustesse et la résilience du programme opératoire avant son exécution (dimension prospective) ? (2) Comment rejouer le programme opératoire pour avoir un retour d'expérience et évaluer les décisions prises lors de son exécution (dimension rétrospective) ? La contribution de ce manuscrit est triple : (1) Nous proposons un système d'aide à la décision basé sur un jumeau numérique pour la simulation et l'analyse prospectives et rétrospectives de l'exécution du programme opératoire. (2) Nous décrivons une méthodologie standardisée pour concevoir, construire et mettre en œuvre cet outil dans n'importe quel bloc opératoire. (3) Cette méthodologie est appliquée à un bloc opératoire inspiré de l'Hôpital Privé de La Baie (groupe Vivalto Santé), afin de disposer d'une preuve de concept permettant de simuler un programme opératoire de façon prospective et rétrospective.",Ingénierie santé et bien-être,,,,,,
Thesis,Proposition d'indicateurs de robustesse basés sur la prise en compte des risques afin d'évaluer les tournées de transport routier de marchandises,Centre Génie Industriel (CGI),"Clément, Antoine","Ali Siadat [Président], Aline Cauvin [Rapporteur], Fouad Riane [Rapporteur], Julien Cegarra, Computer Science [cs]/Other [cs.OH]Theses",05/11/2019,2019,French,https://theses.hal.science/tel-02510667,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,François Marmier,"Robustness, Risk identification, Danger, Decision making, Last mile delivery, Robustesse, Identification de risques, Danger, Aide à la décision, Livraison dernier kilométre","Les travaux présentés dans ce mémoire visent à répondre à une problématique d’aide à la décision pour la sélection d’un planning de livraison dans le domaine du transport routier de marchandise et plus particulièrement pour la livraison du dernier kilomètre. Le rôle du planificateur est crucial pour assurer le respect des exigences du client et la pérennité de l'entreprise de transport. Plus que construire un planning faisable, le planificateur doit sélectionner, parmi plusieurs plannings possibles, celui qui assure la meilleure efficience des ressources de l'entreprise quelles que soient les situations à venir. En effet, la réalisation des tournées est fréquemment confrontée à une multitude de perturbations qu'elles soient endogènes ou exogènes. La problématique adressée dans ce mémoire est : «Comment aider un planificateur à sélectionner un planning dans un contexte risqué ?». Deux contributions principales sont présentées dans ce mémoire. Notre première contribution vise à proposer un mécanisme d’identification et d’évaluation automatiques des risques relatifs à un planning journalier de livraison. Ces mécanismes s'appuient sur la caractérisation de dangers génériques qui pourront être instanciés automatiquement sur une activité du planning de livraison en fonction de caractéristiques contextuelles de cette activité. Ainsi, lorsqu’une activité du planning est confrontée à un danger, un risque est généré sur cette activité pour matérialiser les déviations d'exécution (retard) engendrées par l'évènement perturbateur. Une méthodologie d'évaluation de l'impact des risques sur la réalisation des tournées et des scénarios de risques, basée sur les caractéristiques (probabilité, impacts) de chaque risque, est également présentée. Notre deuxième contribution consiste en la proposition d'indicateurs spécifiques (le retard maximum d’une livraison, la probabilité de respecter les contraintes horaires du client et le minimum de satisfactions) pour mesurer la robustesse des plannings de livraison face aux perturbations et d'une méthodologie d'exploitation de ces indicateurs. Les indicateurs proposés permettent de mesurer la capacité du planning à respecter les exigences du client (quantité livrée, horaire de livraison). Une démarche d'exploitation de ces indicateurs dans la phase de sélection d'un planning comme dans l'aide à la négociation de flexibilité avec le client est proposée. Les travaux de ce mémoire s’inscrivent dans le cadre du projet ANR (Agence Nationale de la Recherche) Smart Planning. Un cas d’étude provenant des entreprises partenaires du projet permet d’illustrer les contributions.","Énergie, économie circulaire et société",,,,,,
Thesis,Estimer le nombre de solutions sur les contraintes de cardinalité,"Théorie, Algorithmes et Systèmes en Contraintes (LS2N - équipe TASC), Département Automatique, Productique et Informatique (IMT Atlantique - DAPI), Laboratoire des Sciences du Numérique de Nantes (LS2N)","Lo Bianco Accou, Giovanni Christian","Vlady Ravelomanana [Président], Jean-Charles Régin [Rapporteur], Willem-Jan van Hoeve [Rapporteur], Nicolas Beldiceanu, Mathematics [math]/Combinatorics [math.CO]Theses",30/10/2019,2019,English,https://theses.hal.science/tel-02408009,"UNIV-NANTES, MINES-ALBI, CNRS, EC-NANTES, STAR, EMAC, UNAM, CGI, THESE-MINES-ALBI, LS2N, LS2N-TASC, LS2N-TASC-IMTA, IMTA_DAPI, LS2N-IMTA, IMT-ATLANTIQUE, INSTITUTS-TELECOM, AFPC, NANTES-UNIVERSITE, UNIV-NANTES-AV2022, NU-CENTRALE, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole nationale supérieure Mines-Télécom Atlantique,Charlotte Truchet,"Constraint programming, Counting, Random graphs, Programmation par contraintes, Dénombrement, Graphes aléatoires","La richesse de la programmation par contraintes repose sur la très large variété des algorithmes qu’elle utilise en puisant dans les grands domaines de l’Intelligence Artificielle, de la Programmation Logique et de la Recherche Opérationnelle. Cependant, cette richesse, qui offre aux spécialistes une palette quasi-illimitée de configurations possibles pour attaquer des problèmes combinatoires, devient une frein à la diffusion plus large du paradigme, car les outils actuels sont très loin d’une boîte noire, et leur utilisation suppose une bonne connaissance du domaine, notamment en ce qui concerne leur paramétrage. Dans cette thèse, nous proposons d’analyser le comportement des contraintes de cardinalité avec des modèles probabilistes et des outils de dénombrement, pour paramétrer automatiquement les solveurs de contraintes : heuristiques de choix de variables et de choix de valeurs et stratégies de recherche.",Souveraineté numérique et sobriété,,,,,,
Thesis,"Etude et définition d'une approche de modélisation et d'orchestration simultanée, agile, et sociale des processus métier, basé sur l'incomplétude, la flexibilité et l'adaptabilité",Centre Génie Industriel (CGI),"Majidian Eidgahi, Mehran","KTK-4947, Christophe Merlo [Président], Jean-Pierre Bourey [Rapporteur], Vincent Chapurlat [Rapporteur], Computer Science [cs]/Other [cs.OH]Theses",14/12/2023,2023,English,https://theses.hal.science/tel-04751650,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, UNC, THESES-UNC, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,Anne-Marie Barthe,"Business process management, Social BPM, Agility, Framework, Design-Time, Run-Time, Gestion des processus métier, BPM social, Agilité, Cadre, Conception, Exécution","La gestion des processus métier (BPM) joue un rôle essentiel dans les organisations, en supervisant l'ensemble du cycle de vie des processus métier afin de fournir des services et des produits de qualité aux utilisateurs finaux. Cependant, l'évolution rapide du paysage commercial (volatilité du marché, personnalisation extrême des produits/expériences) présente de nombreux processus métier différents ainsi que des incertitudes, ce qui nécessite de répondre aux changements de manière réactive et efficace. En un mot, le BPM doit être agile. Le BPM agile permettra aux organisations de gérer, d'exécuter et de s'adapter efficacement à diverses variations de processus tout en faisant face à des changements inattendus. En effet, malgré la rigueur et la formalisation qu'ils apportent, les processus métier sont généralement perçus comme limitant la créativité, l'initiative et l'autonomie. Les processus métier sont difficiles à concevoir, nécessitant des entretiens avec des experts métier et une analyse des données pour identifier et documenter les processus métier ciblés. Leur orchestration est également difficile, en particulier pour faire face à l'instabilité dans l'exécution des processus d'entreprise. Ces observations conduisent aux questions de recherche suivantes : (i) Comment apporter de l'agilité au BPM ? (ii) Comment les outils et la technologie peuvent-ils apporter de l'agilité aux processus métier et aux orchestrateurs BPM ? Une approche agile et sociale de la gestion des processus métier est proposée pour répondre à ces questions. L'un des aspects essentiels de la gestion agile des processus métier est l'implication active des parties prenantes tout au long du cycle de vie du processus métier. Il est essentiel de mettre en place une approche normalisée permettant aux parties prenantes d'accéder et de participer au cycle de vie du processus métier afin d'éviter des problèmes tels que la résistance culturelle. Dans ce contexte, le BPM social apparaît comme un concept précieux, facilitant l'engagement transparent et efficace des parties prenantes dans le cycle de vie des processus métier. Cette thèse commence par offrir une définition complète et précise de l'agilité afin d'adopter une approche agile et sociale de la gestion des processus métier. Elle introduit ensuite un cadre d'agilité, guidant les experts et les chercheurs qui cherchent à mettre en œuvre et à contribuer à l'agilité au sein du BPM. En s'inspirant du BPM social, cette étude présente une nouvelle plateforme de BPM qui exploite les capacités des médias sociaux pour gérer divers processus métier et incertitudes tout en intégrant les parties prenantes dans le cycle de vie du BPM. La plateforme proposée améliore la communication, le partage d'informations et la prise de décision entre les parties prenantes, supprimant les frontières entre le moment de la conception et le moment de l'exécution lorsque des changements se produisent, en fusionnant ces phases. Cette plateforme est soigneusement alignée sur le cadre d'agilité proposé, ce qui lui permet de s'adapter aux changements dans différents horizons temporels. Dans une future perspective d'extension de la plateforme BPM sociale et agile proposée, cette étude explore le rôle potentiel des agents d'intelligence artificielle (tels que les agents conversationnels) dans l'amélioration de la fonctionnalité globale de la plateforme et de sa mise en œuvre du cadre d'agilité. Cette analyse met en évidence l'importance de l'intelligence artificielle dans l'amélioration des capacités et de l'efficacité de la plateforme.",Souveraineté numérique et sobriété,,,,,,
Thesis,Intégrer les contributions citoyennes aux dispositifs de gestion de crise : l'apport des médias sociaux,Institut interdisciplinaire de l’innovation de Telecom Paris (I3 SES),"Batard, Robin","Valérie November [Président], Jean-François Cerisier [Rapporteur], François Charoy [Rapporteur], Julie Dugdale, Andrea Tapia, Humanities and Social Sciences/Library and information sciencesTheses",25/06/2021,2021,French,https://theses.hal.science/tel-03697153,"SHS, MINES-ALBI, CNRS, STAR, TELECOM-PARISTECH, EMAC, PARISTECH, CGI, THESE-MINES-ALBI, I3-TPT, SES, IP_PARIS, INSTITUTS-TELECOM, UNC, THESES-UNC, NOS, ENSMP_I3, UMR_I3, THESE-CGI, INSTITUT-MINES-TELECOM, INTERDISCIPLINARITES",Institut Polytechnique de Paris,Aurélie Montarnal,"Crisis management, Social media, Citizen initiatives, Volunteerism, Institutional practices, Crisis informatics, Gestion de crise, Médias sociaux, Initiatives citoyennes, Volontariat, Pratiques institutionnelles, Crisis informatics","Si la gestion des crises de sécurité civile incombe à un ensemble d’institutions et d’acteurs professionnels, l’utilisation grandissante des médias sociaux affirme le rôle majeur joué par les citoyens dans sa mise en œuvre. À partir d’une approche interdisciplinaire (sciences de l’information et de la communication, sciences informatiques), nos travaux proposent d’étudier l’intégration des contributions citoyennes aux dispositifs de gestion de crise, et ce en particulier via les médias sociaux. Ces travaux s’inscrivent dans le champ des crisis informatics, et se présentent selon quatre axes thématiques : i) l’utilisation des médias sociaux par les communautés citoyennes en situation de crise, ii) les pratiques des acteurs professionnels sur l’intégration des contributions citoyennes, iii) les opportunités pour renforcer les interactions professionnels-citoyens en gestion de crise, et iv) l’intégration des initiatives citoyennes au sein d’un outil logiciel pour l’orchestration de la réponse. Premièrement, nos travaux présentent comment les citoyens s’approprient les fonctionnalités des médias sociaux pour répondre à des besoins spécifiques en situation de crise. Ils amènent à reconsidérer la notion de volontariat en gestion de crise, et dressent une cartographie de la diversité des contributions citoyennes qui peuvent être perçues via les médias sociaux. Deuxièmement, nous étudions comment les pratiques des acteurs des Services Départementaux d’Incendie et de Secours (SDIS) intègrent cette émergence de contributions citoyennes. Si l’on note une certaine maturité dans l’usage des médias sociaux en cellule de crise, on observe toutefois certaines réticences qui freinent leur adoption. Pour l’intégration des initiatives citoyennes sur le terrain, les professionnels des SDIS sont généralement frileux à l’idée d’impliquer les citoyens dans leurs missions de secours. En revanche, l’échelle communale semble plus propice à la prise en charge des volontaires.Troisièmement, nos recherches amènent des axes de travail et de réflexion pour accompagner les institutions de sécurité civile dans une meilleure intégration des contributions citoyennes. Ils amènent alors des réflexions théoriques sur la portée collaborative de ces interactions entre professionnels et citoyens.Quatrièmement, nos travaux proposent de modéliser la notion d’initiative citoyenne, et de mettre en place des modes d’orchestration de leur intégration au sein du logiciel R-IO Suite. Avec l’appui d’un cas d’étude, ils illustrent les possibilités pour une cellule de crise de piloter une gestion de crise qui implique acteurs professionnels et acteurs citoyens.",Souveraineté numérique et sobriété,,,,,,
Thesis,Assistance à l’élaboration d’offres du produit au service : proposition d’un modèle générique centré connaissances et d’une méthodologie de déploiement et d’exploitation,Centre Génie Industriel (CGI),"Guillon, Delphine","Nadège Troussier [Président], Bertrand Rose [Rapporteur], Marc Zolghadri [Rapporteur], Xavier Boucher, Eric Villeneuve, Michel Aldanondo, Computer Science [cs]/Other [cs.OH]Theses",07/10/2019,2019,French,https://theses.hal.science/tel-02416669,"MINES-ALBI, STAR, EMAC, CGI, THESE-MINES-ALBI, INSTITUTS-TELECOM, THESE-CGI, INSTITUT-MINES-TELECOM",Ecole des Mines d'Albi-Carmaux,Christophe Merlo,"Bidding process, Product-Service-Process modelling, Deployment method, Knowledge-based system, Réponse à appel d'offres, Modélisation produit-service-processus, Méthodologie de déploiement, Système à base de connaissances","Les travaux présentés dans ce mémoire s’inscrivent dans une problématique d’aide à l’élaboration d’offres, en adoptant le point de vue de l’entreprise soumissionnaire lors d’un processus de réponse à appel d’offres. Ces offres peuvent concerner indifféremment des produits, des services ou des systèmes produit-service (PSS). Dans le cadre de nos travaux, nous regroupons cette diversité sous le terme « PvSS ». Nous nous intéressons donc à la problématique suivante : «Comment maîtriser et assister l’élaboration d’offres en réponse à appel d’offres ?». Notre première contribution consiste en un cadre de modélisation et d’exploitation des connaissances. Ce cadre est composé d’un modèle générique de structure d’offre, ainsi que d’un modèle d’exploitation des connaissances. Le modèle générique de structure d’offre permet de modéliser à la fois (1) la solution technique (ce que l’entreprise propose au client) et (2) son processus de réalisation (comment l’entreprise fournit cette solution). Il intègre également les notions de contexte d’élaboration, d’exigences client, d’indicateurs d’évaluation (coût, délai de réalisation, confiance, etc.) et de risques. Ce modèle est formalisé et exploité à l’aide d’une taxonomie, d’un problème de satisfaction de contraintes (CSP) et de raisonnement à partir de cas (CBR). Notre deuxième contribution porte sur la caractérisation d’une méthodologie de déploiement et d’exploitation du cadre proposé. Cette méthodologie, appelée ISIEM, intègre des phases d’adaptation et de déploiement du cadre en entreprise (phases d’Initialisation, Spécialisation et Implémentation), mais également des phases d’utilisation (phases d’Exploitation et Mise à jour). Les travaux présentés dans ce mémoire s’inscrivent dans le cadre du projet ANR OPERA. Nos deux contributions sont illustrées par un cas d’étude provenant de l’une des entreprises partenaires du projet.","Énergie, économie circulaire et société",,,,,,
