Type,Titre,Lieu,Equipe,Président,Intervenant,Date,Année,Mots_clés,Résumé,Langue,Lien,Note,Auteurs,Famille,,,,
Conference Proceedings,Estimer le nombre de solutions des contraintes de cardinalité grâce à leur décomposition range et roots,"IMT Atlantique (IMT Atlantique), Centre Génie Industriel (CGI), Théorie, Algorithmes et Systèmes en Contraintes (LS2N - équipe TASC)","KTK-3880, DOCA-20, ACTN, Engineering Sciences [physics]Conference papers",,IMT Mines Albi,12/06/2019,2019,,"En programmation par contraintes, le choix d’une heuristique de recherche plutôt qu’une autre dépend souvent du problème. Cependant il existe des heuristiques génériques utilisant plutôt des indicateurs sur la structure combinatoire du problème. Les heuristiques ""Counting- Based"", introduites par Pesant et al., font des choix basés sur une estimation du nombre de solutions restantes dans tel ou tel sous-arbre de l’arbre de recherche. Un inconvénient de ces heuristiques est qu’elles nécessitent des algorithmes de dénombrement spécifiques à chaque contrainte. Cette étude s’intéresse aux contraintes de cardinalité, dont alldifferent, atmost, nvalue, etc... Nous proposons une méthode de comptage de solutions pour les contraintes range et roots, introduites par Bessiere et al. Grâce à la décomposition des contraintes de cardinalité en contraintes range et roots, nous dérivons une méthode systématique de dénombrement de solutions pour la plupart de ces contraintes.",French,https://imt-mines-albi.hal.science/hal-02160312,"UNIV-NANTES, MINES-ALBI, CNRS, EC-NANTES, EMAC, UNAM, CGI, LS2N, LS2N-TASC, INSTITUTS-TELECOM, NANTES-UNIVERSITE, UNIV-NANTES-AV2022, NU-CENTRALE, INSTITUT-MINES-TELECOM","Lo Bianco, Giovanni, Lorca, Xavier, Truchet, Charlotte",Souveraineté numérique et sobriété,,,,Industrie du futur responsable
Conference Proceedings,Utilisation d'algorithmes d'approximation en Programmation Par Contraintes,"IMT Atlantique (IMT Atlantique), Centre Génie Industriel (CGI)","KTK-3879, DOCA-20, Engineering Sciences [physics]Conference papers",,IMT Mines Albi,12/06/2019,2019,,"Dans cet article, nous présenterons les travaux prélimi-naires menés sur l'utilisation d'algorithmes d'approxima-tion en Programmation Par Contraintes afin d'améliorer le calcul de bornes lors de la résolution de problèmes d'optimisation sous contraintes. L'objectif de nos travaux est d'étudier plus particulièrement quels algorithmes d'ap-proximation présentent suffisamment de flexibilité pour être utilisés en Programmation Par Contraintes, et comment les utiliser au sein d'un propagateur qui mettra à jour les bornes de la variable-objectif à chaque noeud de l'espace de recherche. Enfin l'idée sera d'appliquer cette approche à plusieurs familles de problèmes d'optimisation afin d'en extraire une généralisation.",French,https://imt-mines-albi.hal.science/hal-02160300,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Godet, Arthur, Lorca, Xavier, Simonin, Gilles",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Predicting Patient’s Waiting Times in Emergency Department: A Retrospective Study in the CHIC Hospital Since 2019,"Université de Sfax - University of Sfax, Institut national universitaire Champollion [Albi] (INUC), Centre Génie Industriel (CGI), Systèmes d’Informations Généralisées (IRIT-SIG), Centre Hospitalier Intercommunal Castres-Mazamet (CHIC-CM)","KTK-4543, DOCA-22, Engineering Sciences [physics], Computer Science [cs]Conference papers",Idir Ait Sadoune,Springer Nature Switzerland,21/11/2022,2022,"Patient waiting times, Emergency department, Retrospective analysis, Data analysis, Information system","Predicting patient waiting times in public emergency department rooms (EDs) has relied on inaccurate rolling average or median estimators. This inefficiency negatively affects EDs resources and staff management and causes patient dissatisfaction and adverse outcomes. This paper proposes a data science-oriented method to analyze real retrospective data. Using different error metrics, we applied various Machine Learning (ML) and Deep learning (DL) techniques to predict patient waiting times, including RF, Lasso, Huber regressor, SVR, and DNN. We examined data on 88,166 patients’ arrivals at the ED of the Intercommunal Hospital Center of Castres-Mazamet (CHIC). The results show that the DNN algorithm has the best predictive capability among other models. By precise and real-time prediction of patient waiting times, EDs can optimize their activities and improve the quality of services offered to patients.",English,https://imt-mines-albi.hal.science/hal-03935078,"UNIV-TLSE2, UNIV-TLSE3, MINES-ALBI, CNRS, EMAC, CGI, UT1-CAPITOLE, INUC, INSTITUTS-TELECOM, IRIT, IRIT-SIG, IRIT-GD, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, INSTITUT-MINES-TELECOM","Ameur, Nadhem Ben, Lahyani, Imene, Thabet, Rafika, Megdiche, Imen, Steinbach, Jean-Christophe, Lamine, Elyes",Ingénierie santé et bien-être,,,,
Conference Proceedings,Performance Evaluation and Statistical Data Analysis of a Call Center for the Deaf Community,"Yeditepe University, Centre Génie Industriel (CGI)","KTK-4466, DOCA-22, Engineering Sciences [physics]Conference papers",,"“© 2022 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, including reprinting/republishing this material for advertising or promotional purposes, collecting new collected works for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.”",30/11/2021,2021,"Performance evaluation, Schedules, Data analysis, Statistical analysis, Sensitivity analysis, Computational modeling, Auditory system","In this study, we address the performance evaluation of a multi-model call center. We provide an in-depth statistical data analysis to understand the dynamics of waiting times, service times and arrivals. Afterwards, we present our methodology on how to better size and schedule the agents in order to maintain a better service quality, namely more efficient utilization of resources and shorter waiting times.",English,https://imt-mines-albi.hal.science/hal-03545831,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Pehlivan, Seyda Alperen, Pehlivan, Canan, Martinez, Clea, Cellier, Nicolas, Fontanili, Franck, Lamine, Elyes",Ingénierie santé et bien-être,,,,
Conference Proceedings,Integrating Model-Driven Engineering as the Next Challenge for Artificial Intelligence – Application to Risk and Crisis Management,Centre Génie Industriel (CGI),"KTK-4029, DOCA-22, Engineering Sciences [physics]Conference papers",,,08/12/2019,2019,,"Artificial Intelligence (AI) is currently on top of the hype regarding simultaneously research publications and industrial development. However, the current status of AI makes it quite far and different from the current understanding of Human intelligence. One suggestion that is made in this article is that Model-Driven approaches could be considered as an interesting avenue to complement classical visions of AI and to provide some missing features. Specifically, the use of Model-Driven Engineering tools (such as metamodel and model transformation) could benefit to the domain of AI by introducing a way to extend the apprehension of unknown situations. To support that proposal, an illustrative example is provided regarding the domain of risk and crisis management.",English,https://imt-mines-albi.hal.science/hal-02493057,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Benaben, Frederick, Lauras, Matthieu, Fertier, Audrey, Salatge, Nicolas",Souveraineté numérique et sobriété,,,,
Conference Proceedings,A Simulation Framework Dedicated to Characterizing Risks and Cascading Effects in Collaborative Networks,Centre Génie Industriel (CGI),"Part 12: Risk and resilience in collaborative networks, KTK-4497, DOCA-20, Quantitative Finance [q-fin]/Risk Management [q-fin.RM], Computer Science [cs]/Modeling and SimulationConference papers, TC 5, WG 5.5",A. Luís Osório,Springer International Publishing,19/09/2022,2022,"Simulation, Cascading effect, Risk interdependency, Collaborative network, Framework","Cascading effects describe risk interdependencies, whereby the occurrence of one risk may trigger one or more risks with potential propagation chains in complex systems. In this study, on the basis of a formalized model namely danger-risk-consequence chain, a generic simulation framework is proposed to characterize risk causal processes and cascading effects within collaborative networks. Risk-related components and the causal relationships between them are visualized by abstractly representing the instantaneous state of the considered collaborative network as a directed graph. Furthermore, the simulation of trajectories of the state evolution over time is realized by knowledge-driven automatic inference of causal chains and propagation chains, thus enabling the tracing of cascading effects within complex systems. The presented simulation framework provides a solid foundation for a systemic understanding of risks, which implies an innovative tool that helps decision-makers to identify, prevent and mitigate cascading effects within collaborative networks (e.g., supply chains).",English,https://imt-mines-albi.hal.science/hal-03775883,"MINES-ALBI, AO-ECONOMIE, EMAC, CGI, IFIP, IFIP-AICT, IFIP-TC, IFIP-TC5, IFIP-WG, IFIP-WG5-5, TDS-MACS, IFIP-PROVE, INSTITUTS-TELECOM, IFIP-AICT-662, INSTITUT-MINES-TELECOM","Zhang, Tianyuan, Li, Jiayao, Benaben, Frederick",Industrie du futur responsable,,,,
Conference Proceedings,BLPAD.Core: A Multi-Functions Optimizer Towards Daily Planning Generation in Home Health Care,"Centre Génie Industriel (CGI), Berger-Levrault, Institut national universitaire Champollion [Albi] (INUC), Laboratoire de Génie Chimique (LGC)","KTK-4214, DOCA-20, Engineering Sciences [physics]Conference papers",,IEEE,02/11/2020,2020,"Medical services, Benchmark testing, Planning, Mathematical model, Generators, Visualization, Synchronization, BLPAD, Home Health Care, Use case generation, Benchmark, Optimization, Planning Visualization","Today, a majority of the elderly want to live longer in autonomy and comfort. Since there is not enough space available in specialized institutions, Home Health Care Services (HHCS) constitute an important addition that reinforces the traditional system. With the increase in HHCS demands, the main challenge in this distributed system is the organization of care services in an HHC institution. This organizational problem is widely studied as a Home Health Care Scheduling and Routing Problem (HHCSRP) in the Operations Research (OR) community. Facing the diversity and complexity of demands, as done in OR, the formulated solution-oriented model aims at providing decision making support for the decision maker in HHC systems. This leads obstacles in the dataset / benchmark based experimental environment and critical analysis such as the degree of the optimality regarding generated solutions and the comprehensive visualization of solutions. In this paper, based on a systemic analysis of the existing benchmark and the solution approach for HHCSRP, a prototype named BLP AD. Core is introduced. It provides a full decision support system to the decision-maker in the HHC system. The functionality consists of an instance generation based on the real dataset, operational planning generation and solution visualization. This research highlights the scientific challenges and attempts to respond to the complicated expectations of HHC systems in a comprehensive manner.",English,https://imt-mines-albi.hal.science/hal-03109972,"UNIV-TLSE3, MINES-ALBI, CNRS, EMAC, CGI, INUC, INSTITUTS-TELECOM, LGC, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, INSTITUT-MINES-TELECOM","Zhang, Liwen, Lamine, Elyes, Fontanili, Franck, Bortolaso, Christophe, Sargent, Marianne, Derras, Mustapha, Pingaud, Hervé",Ingénierie santé et bien-être,,,,
Conference Proceedings,A Physics-Based Enterprise Modeling Approach for Risks and Opportunities Management,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta], L@b SCALIAN","Part 7: Risk and Security Modeling, KTK-4188, DOCA-20, Engineering Sciences [physics], Physics [physics]Conference papers, TC 8, WG 8.1",Dominik Bork,Springer International Publishing,25/11/2020,2020,"Opportunity, Physics, Theory, Organizations, Enterprises, Management Science, Enterprise modeling (EM), Risk, Enterprise Modeling (EM)","Management Science tries to enable managers and decision-makers to take the desired solutions to guide systems toward their objectives. This requires identifying the different dimensions of the system. Organizations and enterprises are complex systems associated with uncertainties in dynamic business contexts, that interact with their environments. Due to pressures such as collaborations with their customers, suppliers, their environment, the seek for innovations, etc., the performance may be changed by internal and external risks and opportunities that push and pull the enterprises like forces. Thanks to Physics of Decision (PoD), by identifying these pressures according to the organization’s features and objectives, unstable conditions due to the forces, can be detected and identified as risks and opportunities. This article attempts to present a time-dependent dynamic framework, based on a physical approach to identify risks and opportunities seen as forces applied on Organizations and Enterprises.",English,https://imt-mines-albi.hal.science/hal-03027747,"MINES-ALBI, EMAC, CGI, IFIP, IFIP-TC, IFIP-LNBIP, IFIP-WG, IFIP-TC8, IFIP-WG8-1, INSTITUTS-TELECOM, IFIP-LNBIP-400, INSTITUT-MINES-TELECOM","Moradkhani, Nafe, Faugère, Louis, Jeany, Julien, Lauras, Matthieu, Montreuil, Benoit, Benaben, Frederick","Énergie, économie circulaire et société",,,,
Conference Proceedings,"Formal Specification, Implementation, and Evaluation of the AdoBPRIM Approach","Laboratoire de Génie Chimique (LGC), Centre Génie Industriel (CGI), Institut Supérieur d'Informatique et des Techniques de Communication (Université de Sousse) (ISITCom), Research Group Knowledge Engineering [Vienna] (KE)","KTK-4130, DOCA-22, Engineering Sciences [physics]Conference papers",,,10/08/2020,2020,"Modeling Method, Risk-aware Business Process Management, BPRIM, Formalization, ADOxx, USABILITY","Modeling is one of the fundamental aspects of Risk-aware Business Process Management. The conceptualization of new modeling approaches needs to integrate all abstraction layers of risk and business process concepts and requires a highly specialized knowledge in conceptual modeling foundations and formal specification of meta-models. This paper introduces a risk-aware business process modeling approach based on the BPRIM method. In order to comprehensively and unambiguously specify the proposed approach, we revert to the FDMM formalism. Furthermore, a corresponding software prototype called AdoBPRIM has been implemented using the ADOxx meta-modeling platform to assess the technical feasibility of the approach. The usability of the tool has been empirically evaluated and a healthcare process-based example is presented as a proof-of-concept. We show that the AdoBPRIM approach enables Risk-aware Business Process Management with an excellent usability. In summary, this paper constitutes a best-practice for formally specifying, technically implementing, and empirically evaluating modeling method conceptualizations.",English,https://imt-mines-albi.hal.science/hal-02933061,"UNIV-TLSE3, MINES-ALBI, CNRS, EMAC, CGI, INUC, INSTITUTS-TELECOM, LGC, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, INSTITUT-MINES-TELECOM","Thabet, Rafika, Lamine, Elyes, Boufaied, Amine, Bork, Dominik, Korbaa, Ouajdi, Pingaud, Hervé",Industrie du futur responsable,,,,
Conference Proceedings,Using Approximation within Constraint Programming to Solve the Parallel Machine Scheduling Problem with Additional Unit Resources,"IMT Atlantique (IMT Atlantique), Centre Génie Industriel (CGI), Équipe Recherche Opérationnelle, Optimisation Combinatoire et Contraintes (LAAS-ROC), Département Automatique, Productique et Informatique (IMT Atlantique - DAPI)","KTK-4108, DOCA-02, Rapport LAAS n° 20147, Computer Science [cs]/Artificial Intelligence [cs.AI]Conference papers",,,07/02/2020,2020,,"In this paper, we consider the Parallel Machine Scheduling Problem with Additional Unit Resources, which consists in scheduling a set of n jobs on m parallel unrelated machines and subject to exactly one of r unit resources. This problem arises from the download of acquisitions from satellites to ground stations. We first introduce two baseline constraint models for this problem. Then, we build on an approximation algorithm for this problem, and we discuss about the efficiency of designing an improved constraint model based on these approximation results. In particular, we introduce new constraints that restrict search to executions of the approximation algorithm. Finally, we report experimental data demonstrating that this model significantly outperforms the two reference models.",English,https://laas.hal.science/hal-02907067,"UNIV-TLSE2, UNIV-TLSE3, MINES-ALBI, CNRS, INSA-TOULOUSE, LAAS, EMAC, LAAS-ROC, CGI, UT1-CAPITOLE, LAAS-DECISION-ET-OPTIMISATION, IMTA_DAPI, IMT-ATLANTIQUE, INSA-GROUPE, INSTITUTS-TELECOM, PNRIA, ANR, ANITI, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, TEST7-HALCNRS, INSTITUT-MINES-TELECOM","Godet, Arthur, Lorca, Xavier, Hébrard, Emmanuel, Simonin, Gilles",Souveraineté numérique et sobriété,,,,
Conference Proceedings,A Humanitarian Supply Chain Maturity Model,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta]","KTK-4155, DOCA-20, Engineering Sciences [physics]Conference papers",,,24/05/2020,2020,"Maturity Assessment, Performance, Humanitarian Organization, Supply Chain","Over the past decades, humanitarian organizations have largely been criticized for their lack of effectiveness regarding their mission of assisting vulnerable population. However, few researches have investigated what ideal should humanitarian organizations tend toward and the path to undertake in such transformation. In this perspective, this paper intends to overcome this situation by proposing a supply chain maturity model specifically addressed to the humanitarian sector. In the form of a two-dimension matrix, the table aims at: 1) Objectify one organization’s position regarding its transformation journey 2) Depending on the organization, identify the specific improvement areas and suggest their sequence. An instantiation of the maturity model is also proposed through the case of the Indonesian red cross",English,https://telecom-paris.hal.science/hal-02958562,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Grest, Manon, Lauras, Matthieu, Montreuil, Benoit",Industrie du futur responsable,,,,
